epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.51531,2.40628,5.09786,3.22344,0,0,0,0,2.18043,5.97898,3.4504,0,0,0
2,4.73347,2.31,6.08911,3.33918,0,0,0,0,2.20468,5.97771,3.45485,1.40542e-05,1.40542e-05,1.40542e-05
3,6.74682,2.42529,5.36734,3.33658,0,0,0,0,2.18982,5.98932,3.44901,2.76369e-05,2.76369e-05,2.76369e-05
4,8.74876,2.53387,5.10366,3.02996,0.00321,0.33333,0.04146,0.00415,2.15798,5.98217,3.42185,4.07479e-05,4.07479e-05,4.07479e-05
5,10.6422,2.4637,5.23564,3.22896,0.00312,0.33333,0.03015,0.00302,2.13942,5.92376,3.39612,5.33874e-05,5.33874e-05,5.33874e-05
6,12.4731,2.24324,5.32269,3.19209,0.003,0.33333,0.03015,0.00302,2.12156,5.82197,3.35281,6.55554e-05,6.55554e-05,6.55554e-05
7,14.3586,2.39813,4.99134,3.01706,0.00306,0.33333,0.02551,0.00255,2.11523,5.55705,3.29058,7.72517e-05,7.72517e-05,7.72517e-05
8,16.2885,2.14429,4.25224,2.78751,0.00287,0.33333,0.02551,0.00255,2.07633,5.19125,3.16139,8.84765e-05,8.84765e-05,8.84765e-05
9,18.3251,2.31824,4.72329,2.88212,0.05843,0.66667,0.09648,0.03618,2.027,4.78309,2.93712,9.92298e-05,9.92298e-05,9.92298e-05
10,20.3536,1.95105,4.97539,2.64918,0.05836,0.66667,0.19598,0.09196,1.92111,4.78433,2.8017,0.000109511,0.000109511,0.000109511
11,22.366,1.96395,4.81566,2.76888,0.0444,0.66667,0.36182,0.18222,1.85065,4.49013,2.72487,0.000119322,0.000119322,0.000119322
12,24.3109,1.88029,3.97983,2.56321,0.036,0.66667,0.35378,0.1785,1.73167,4.28692,2.60764,0.00012866,0.00012866,0.00012866
13,26.2653,1.96053,3.99132,2.6004,0.02648,0.66667,0.35009,0.17557,1.67055,4.57749,2.43021,0.000137527,0.000137527,0.000137527
14,28.2116,1.80281,4.634,2.46395,0.16334,0.66667,0.34674,0.17036,1.61581,4.53394,2.38451,0.000145922,0.000145922,0.000145922
15,30.183,1.61225,3.75956,2.24163,0.20161,0.33333,0.34272,0.20258,1.62962,4.29563,2.30859,0.000153846,0.000153846,0.000153846
16,32.1774,1.39171,3.50692,1.92516,0.9082,0.33333,0.34203,0.20087,1.68044,4.07134,2.34849,0.000161298,0.000161298,0.000161298
17,34.1754,1.67918,3.91895,2.21741,0.94404,0.33333,0.34442,0.20028,1.70313,3.84863,2.36653,0.000168279,0.000168279,0.000168279
18,36.0829,1.39057,3.38108,1.90618,0.94404,0.33333,0.34442,0.20028,1.70313,3.84863,2.36653,0.000174788,0.000174788,0.000174788
