epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.08549,2.85263,5.35448,3.43456,0.00351,0.33333,0.00626,0.00125,2.22759,5.24694,3.42006,0,0,0
2,4.05659,2.4607,5.88543,3.25499,0.00355,0.33333,0.00535,0.00107,2.251,5.22034,3.42535,1.40542e-05,1.40542e-05,1.40542e-05
3,5.90526,2.4429,5.4626,3.36161,0.00347,0.33333,0.00442,0.00088,2.2363,5.22682,3.4163,2.76369e-05,2.76369e-05,2.76369e-05
4,7.68426,2.6112,5.00259,3.07949,0.00351,0.33333,0.00386,0.00116,2.2055,5.22855,3.38932,4.07479e-05,4.07479e-05,4.07479e-05
5,9.46347,2.52773,5.37481,3.2796,0.00347,0.33333,0.00357,0.00107,2.17092,5.22706,3.33422,5.33874e-05,5.33874e-05,5.33874e-05
6,11.2648,2.38271,5.32042,3.18635,0,0,0,0,2.12553,5.28356,3.29272,6.55554e-05,6.55554e-05,6.55554e-05
7,13.0727,2.33239,5.2714,2.97534,0,0,0,0,2.04621,5.27594,3.20122,7.72517e-05,7.72517e-05,7.72517e-05
8,14.9428,2.14167,4.29368,2.73301,0.00254,0.33333,0.00448,0.00071,1.97816,5.18533,3.13625,8.84765e-05,8.84765e-05,8.84765e-05
9,16.7866,2.2881,4.74938,2.81258,0.00245,0.33333,0.00481,0.00077,1.98178,5.02813,3.00621,9.92298e-05,9.92298e-05,9.92298e-05
10,18.6429,2.00297,4.70681,2.69318,0.01817,0.66667,0.11551,0.01205,1.98056,4.86937,2.88218,0.000109511,0.000109511,0.000109511
11,20.5067,1.78632,4.72552,2.57795,0.01974,0.66667,0.11648,0.0233,1.97968,4.65423,2.77839,0.000119322,0.000119322,0.000119322
12,22.3891,1.8184,3.90501,2.51228,0.0188,0.66667,0.08929,0.02679,1.96782,4.43761,2.59783,0.00012866,0.00012866,0.00012866
13,24.284,1.9107,3.99405,2.49398,0.02436,1,0.10021,0.04008,2.03135,4.15751,2.49506,0.000137527,0.000137527,0.000137527
14,26.1659,1.81312,4.62356,2.52669,0.02415,1,0.1009,0.04288,1.96655,4.12441,2.36834,0.000145922,0.000145922,0.000145922
15,28.0349,1.52624,3.66939,2.17091,0.0239,1,0.1286,0.06593,1.88119,4.27637,2.22703,0.000153846,0.000153846,0.000153846
16,29.8218,1.40954,3.50039,1.93567,0.03152,1,0.12602,0.07277,1.81166,4.20232,2.12294,0.000161298,0.000161298,0.000161298
17,31.6695,1.50669,3.80459,1.9869,0.05695,0.66667,0.12798,0.07363,1.73631,4.26974,2.10787,0.000168279,0.000168279,0.000168279
18,33.4358,1.44726,3.24773,1.91402,0.05695,0.66667,0.12798,0.07363,1.73631,4.26974,2.10787,0.000174788,0.000174788,0.000174788
19,35.2722,1.53354,3.00023,1.98867,0.09718,0.66667,0.1361,0.05503,1.59257,4.27672,2.10318,0.000180826,0.000180826,0.000180826
20,37.0353,1.4093,3.13959,2.03891,0.09718,0.66667,0.1361,0.05503,1.59257,4.27672,2.10318,0.000186392,0.000186392,0.000186392
21,38.8293,1.46259,3.472,2.17056,0.10375,0.66667,0.21677,0.14059,1.55926,4.06713,2.14468,0.000191486,0.000191486,0.000191486
22,40.5361,1.23006,3.2145,1.82038,0.10375,0.66667,0.21677,0.14059,1.55926,4.06713,2.14468,0.000196109,0.000196109,0.000196109
23,42.3417,1.30916,3.23864,2.09357,0.3048,0.66667,0.67206,0.40172,1.56411,3.90199,2.21538,0.00020026,0.00020026,0.00020026
24,44.1013,1.34929,3.19654,2.03449,0.3048,0.66667,0.67206,0.40172,1.56411,3.90199,2.21538,0.00020394,0.00020394,0.00020394
25,45.8923,1.23987,3.10899,1.86094,0.35078,0.66667,0.6766,0.4018,1.55972,3.86146,2.19784,0.000207148,0.000207148,0.000207148
26,47.6417,1.29734,3.21083,2.15163,0.35078,0.66667,0.6766,0.4018,1.55972,3.86146,2.19784,0.000209884,0.000209884,0.000209884
27,49.4128,1.07434,3.05168,1.74143,0.67767,0.66667,0.67841,0.40102,1.58002,3.79091,2.19554,0.000212149,0.000212149,0.000212149
28,51.1683,1.20748,2.56632,1.7926,0.67767,0.66667,0.67841,0.40102,1.58002,3.79091,2.19554,0.000213943,0.000213943,0.000213943
29,53.1559,1.15697,2.50205,1.76975,0.30215,0.66667,0.70019,0.37291,1.61671,3.62554,2.21204,0.000215265,0.000215265,0.000215265
30,54.9295,1.05163,3.30606,1.86047,0.30215,0.66667,0.70019,0.37291,1.61671,3.62554,2.21204,0.000216115,0.000216115,0.000216115
31,56.6844,1.31083,2.47409,1.98146,0.26235,0.66667,0.71071,0.34195,1.59833,3.48159,2.20481,0.000216493,0.000216493,0.000216493
32,58.4103,1.30906,2.47917,1.86049,0.26235,0.66667,0.71071,0.34195,1.59833,3.48159,2.20481,0.000216401,0.000216401,0.000216401
33,60.1949,1.27427,2.69159,2.11667,0.98721,0.33333,0.46196,0.24709,1.57376,3.3195,2.20065,0.000215836,0.000215836,0.000215836
34,61.9187,1.11616,2.38269,1.87198,0.98721,0.33333,0.46196,0.24709,1.57376,3.3195,2.20065,0.0002148,0.0002148,0.0002148
35,63.7151,1.12928,2.31389,1.79964,0.9884,0.33333,0.46986,0.2482,1.56338,3.15922,2.20507,0.000213293,0.000213293,0.000213293
36,65.4632,1.17685,2.39074,1.9823,0.9884,0.33333,0.46986,0.2482,1.56338,3.15922,2.20507,0.000211313,0.000211313,0.000211313
37,67.2514,1.4029,2.58259,1.89246,0.9892,0.33333,0.40985,0.23572,1.55383,3.08766,2.21508,0.000208863,0.000208863,0.000208863
38,68.9942,1.10742,2.33469,1.59544,0.9892,0.33333,0.40985,0.23572,1.55383,3.08766,2.21508,0.00020594,0.00020594,0.00020594
39,70.7812,1.27821,2.56768,1.88916,0.98986,0.33333,0.41242,0.24082,1.55963,3.01313,2.18544,0.000202546,0.000202546,0.000202546
40,72.5442,1.11236,2.21711,1.81174,0.98986,0.33333,0.41242,0.24082,1.55963,3.01313,2.18544,0.000198681,0.000198681,0.000198681
41,74.3295,1.22218,2.28505,2.03825,0.99011,0.33333,0.41751,0.24387,1.56688,2.96438,2.15063,0.000194344,0.000194344,0.000194344
42,76.1011,1.08431,2.13811,1.77464,0.99011,0.33333,0.41751,0.24387,1.56688,2.96438,2.15063,0.000189535,0.000189535,0.000189535
43,77.8923,1.06087,2.45521,1.729,0.9903,0.33333,0.50856,0.29146,1.56713,2.97813,2.1306,0.000184255,0.000184255,0.000184255
44,79.6358,0.92127,1.98501,1.54043,0.9903,0.33333,0.50856,0.29146,1.56713,2.97813,2.1306,0.000178504,0.000178504,0.000178504
45,81.3925,1.22572,2.51291,1.83172,0.29509,0.56928,0.4975,0.26533,1.54697,2.98488,2.07403,0.00017228,0.00017228,0.00017228
46,83.1395,0.75594,1.82595,1.47701,0.29509,0.56928,0.4975,0.26533,1.54697,2.98488,2.07403,0.000165585,0.000165585,0.000165585
47,84.986,1.09394,1.79731,1.71237,0.28721,0.55428,0.4975,0.26902,1.51294,2.93654,1.96679,0.000158419,0.000158419,0.000158419
48,86.7595,1.00434,2.24738,1.66725,0.28721,0.55428,0.4975,0.26902,1.51294,2.93654,1.96679,0.000150781,0.000150781,0.000150781
49,88.5495,0.94037,2.07442,1.74204,0.99047,0.33333,0.52514,0.29021,1.47728,2.89065,1.88033,0.000142671,0.000142671,0.000142671
50,90.2833,1.06431,2.01339,1.65214,0.99047,0.33333,0.52514,0.29021,1.47728,2.89065,1.88033,0.00013409,0.00013409,0.00013409
51,92.0947,0.82388,2.74277,1.41242,0.2475,0.66667,0.77389,0.37589,1.46729,2.85366,1.75119,0.000125037,0.000125037,0.000125037
52,93.8556,0.86498,2.79629,1.58982,0.2475,0.66667,0.77389,0.37589,1.46729,2.85366,1.75119,0.000115513,0.000115513,0.000115513
